ID,Teff,logg,Tmag
428548844,3478.0,4.71863,10.6717
101219123,3955.0,4.65447,10.6758
46677021,3912.0,4.65813,10.6817
298649058,3561.0,4.58988,10.6846
229501076,3855.0,4.36288,10.6915
432150725,3834.0,4.7141,10.6915
428664176,3669.0,4.68459,10.6957
409526221,3921.35,4.51338,10.6986
22946967,3908.88,4.48291,10.7013
385104344,3854.0,4.62381,10.7018
238343073,3935.0,4.66851,10.7025
194557565,3728.0,4.72466,10.7025
272042467,3889.0,4.72171,10.7096
251179500,3676.0,4.73136,10.7158
240900061,3893.0,4.70808,10.716
63349323,3868.0,4.64151,10.7167
285177505,3801.0,4.61864,10.7179
387405132,3730.0,4.7874,10.7268
285126716,3504.0,4.76934,10.7355
291885076,3443.0,4.73705,10.7392
272136866,3886.0,4.66323,10.7439
53974577,3821.0,4.65728,10.7441
233503533,3793.0,4.69738,10.7457
385240446,3921.0,4.622,10.7484
461512871,3802.0,4.61704,10.7624
424283890,3458.0,4.8321,10.7632
403588788,3559.0,4.61088,10.7659
229771234,4000.0,4.42899,10.7665
427738226,3895.0,4.69979,10.7668
178043153,3315.0,4.61095,10.767
444136855,3335.0,4.90278,10.7693
285181325,3490.0,4.79223,10.785
137158759,3755.0,4.65158,10.7851
5634949,3799.0,4.6756,10.7857
279196486,3392.0,4.73785,10.789
116850131,3804.0,4.72987,10.7912
470086864,3877.0,4.6252,10.7966
49656844,3967.0,4.62577,10.8002
298599660,3847.0,4.8672,10.8052
387811195,3758.0,4.81368,10.8056
129821115,3910.0,4.70214,10.807
50759246,3818.0,4.61536,10.8071
160603519,3819.0,4.28145,10.8135
288344202,3629.0,4.7392,10.816
219739842,3964.0,4.63554,10.8225
327395613,3576.0,4.77019,10.8238
199550243,3613.0,4.73367,10.8308
331720554,3618.0,4.72113,10.8349
359313701,3308.0,4.79862,10.8353
275055649,3889.0,4.58511,10.8357
177990792,3412.0,4.74387,10.8357
358824896,3696.0,4.70711,10.8359
63715839,3867.0,4.64513,10.8362
428077890,3796.0,4.70453,10.8386
354013128,3688.0,4.57437,10.8391
139558587,3741.0,4.73999,10.8546
288318472,3924.0,4.60438,10.8585
1718018400,3541.0,4.98951,10.8671
21282990,3940.0,4.6529,10.8693
405461329,3294.0,4.98083,10.8718
245503256,3401.0,4.81166,10.8755
21129142,3972.02,4.43738,10.8775
441761546,3777.0,4.66652,10.8805
399926009,3691.0,4.63786,10.8816
256197147,3710.0,4.81688,10.8854
229480400,3384.0,4.87535,10.8869
459985740,3421.0,4.83205,10.8871
332259669,3499.0,4.69361,10.8886
245626010,3641.0,4.68797,10.8892
279868193,3802.0,4.67125,10.8893
418205761,3942.0,4.65488,10.8945
65646537,3737.0,4.7943,10.8955
378981776,3334.0,4.87882,10.9006
642033800,3679.0,4.76657,10.902
233513676,3637.0,4.62391,10.903
90695178,3780.0,4.65117,10.9063
416098108,3315.0,4.84767,10.9073
407162954,3694.0,4.65958,10.9163
305794603,3491.0,4.90993,10.9229
240926234,3925.0,4.6223,10.9237
362216120,3645.0,4.58636,10.9295
422430327,3898.0,4.71088,10.94
275369977,3439.0,4.78555,10.9451
288514307,3906.0,4.68859,10.9471
26432942,3514.0,4.78189,10.9513
198479347,3902.0,4.63913,10.9515
269596978,3426.0,4.85587,10.9585
379086926,3657.0,4.67451,10.9591
289536553,3331.0,4.90347,10.9613
116014094,3546.0,4.99203,10.9621
272230783,3348.0,4.95696,10.9674
372207328,3358.0,4.93,10.97
202983506,3731.0,4.72064,10.97
397515306,3780.0,4.77119,10.9709
63717991,3282.0,4.78832,10.9795
232618367,3496.0,4.78734,10.9801
249861555,3502.0,4.84342,10.982
90768237,3113.0,4.99539,10.9831
82337696,3408.0,4.75058,10.9849
306183402,3629.0,4.75036,10.9869
233738219,3292.0,4.93863,10.9874
219751364,3383.0,4.82451,10.9919
349976424,3820.0,4.66187,10.9924
22749484,3607.0,4.74351,10.9948
407206131,3658.0,4.71125,11.0011
427549981,3928.0,4.67433,11.0061
420539022,3937.0,4.61622,11.0071
243315463,3389.0,4.88315,11.0086
455959634,3641.0,4.6935,11.0099
201186294,3455.0,4.76798,11.0136
198184504,3963.0,4.58716,11.0189
259261203,3539.0,4.75291,11.0211
416401346,3992.0,4.55633,11.0219
352426580,3808.0,4.64418,11.0225
264194538,3620.0,4.81049,11.0238
381593601,3963.0,4.64395,11.025
392569404,3764.0,4.68024,11.0254
52187513,3809.0,4.69183,11.0262
280032397,3523.0,4.74053,11.0271
422756130,3575.0,4.72334,11.0294
470210911,3829.0,4.66334,11.0338
233608848,3399.0,4.77825,11.0345
468667858,3601.0,4.74785,11.0346
429065424,3740.0,4.64973,11.0349
201244425,3544.0,4.7619,11.0399
642604571,3954.0,4.78141,11.0423
379167988,3850.0,4.73605,11.0497
396562848,3414.0,4.97292,11.0548
285427634,3480.0,4.85492,11.0563
397795649,3328.0,4.9444,11.0569
441721594,3282.0,4.99557,11.0657
237103229,3931.0,4.59665,11.067
335158508,3640.0,4.68161,11.0676
269913629,3383.0,4.83085,11.069
418204289,3749.0,4.69719,11.0744
269666588,3398.0,4.78718,11.077
406895522,3868.0,4.64228,11.078
235678745,3746.0,4.76979,11.0788
237000731,3664.0,4.64309,11.08
327729981,3776.0,4.68267,11.0806
201244104,3849.0,4.6907,11.0828
332049827,3856.0,4.63958,11.0847
235990713,3901.0,4.62729,11.0865
54469098,3333.0,4.91084,11.089
198236520,3610.0,4.83504,11.0895
435742419,3968.0,4.62914,11.0948
11437325,3996.0,4.74017,11.0954
467573333,3887.0,4.69917,11.0966
67390812,3626.0,4.74804,11.0999
471012715,3761.0,4.73978,11.1019
367915930,3692.0,4.80345,11.1056
402980664,3160.0,4.89898,11.1066
321688498,3863.0,4.67991,11.1079
116622230,3603.0,4.68328,11.1088
129686606,3942.52,4.51174,11.1135
302013566,3991.0,4.64342,11.1152
431892765,3640.0,4.75663,11.12
247020601,3323.0,4.80416,11.12
34942805,3783.0,4.64109,11.1215
201360726,3947.0,4.58697,11.1224
275479714,3375.0,4.67989,11.1272
441728165,3825.0,4.66183,11.1287
229609853,3415.0,4.85705,11.1302
55001022,3728.0,4.70076,11.1311
445461447,3442.0,4.83893,11.1345
408728318,3455.0,4.77628,11.137
184651537,3963.0,4.62323,11.142
312471461,3746.0,4.65129,11.1465
390733970,3508.0,4.81687,11.1489
200735435,3939.0,4.61176,11.1493
327293596,3432.0,4.91575,11.15
202903044,3884.0,4.69332,11.1501
219112414,3505.0,4.67756,11.1531
265388317,3958.0,4.6315,11.1539
436876388,3677.0,4.6743,11.1541
26537612,3827.0,4.64891,11.1574
396431593,3570.0,4.84296,11.1601
46682352,3378.0,4.79491,11.164
385259962,3602.0,4.56899,11.1641
288638522,3956.0,4.64306,11.1694
292980741,3594.0,4.68568,11.1722
264227388,3610.0,4.75642,11.1753
139406894,3780.0,4.74826,11.1794
139405621,3358.0,4.92342,11.1825
77265987,3706.0,4.6808,11.1835
433497055,3769.0,4.70033,11.1856
235950123,3617.0,4.69892,11.1886
384597322,3725.0,4.66795,11.1896
29106953,3958.0,4.68175,11.1909
259148287,3846.0,4.61621,11.1912
275139025,3810.0,4.61815,11.1927
470715994,3815.0,4.70578,11.1927
424383790,3289.0,4.83016,11.1946
77457435,3840.0,4.61802,11.1962
20766993,3643.0,4.66489,11.1963
233513447,3933.04,4.47792,11.1978
377030976,3357.0,4.84178,11.2006
379089343,3431.0,4.85937,11.2009
82690713,3996.0,4.65528,11.2017
422425371,3429.0,4.78488,11.204
285180551,3739.0,4.79018,11.2056
402777927,3903.0,4.63913,11.2071
198211976,3621.0,4.7197,11.2076
387269441,3995.0,4.62187,11.2081
230119661,3554.0,4.76452,11.2159
251511361,3524.0,4.84938,11.2162
94476279,3890.3,4.36831,11.2174
250709853,3307.0,4.89181,11.2246
63509175,3854.0,4.68517,11.2289
470869094,3834.0,4.65909,11.2293
470679277,3236.0,4.81874,11.2294
85525365,3706.0,4.73042,11.2305
285181196,3445.0,4.68965,11.2321
77224930,3542.0,4.74691,11.235
332502511,3888.0,4.65655,11.2351
357101915,3972.76,4.43101,11.2387
436880490,3213.0,4.89404,11.2414
362226269,3935.0,4.63296,11.242
139407142,3851.0,4.65032,11.2428
240797831,3836.0,4.60153,11.244
308606212,3854.0,4.70713,11.2464
441808423,3874.0,4.65402,11.2488
275697127,3923.0,4.63748,11.2532
116500294,3564.0,4.77155,11.2536
368591191,3669.0,4.7211,11.2541
230089758,3957.0,4.57554,11.2549
20998906,3387.0,4.80985,11.2563
229791353,3865.0,4.6427,11.2575
398325455,3405.0,4.81122,11.2576
420110967,3914.0,4.63659,11.2594
387238881,3440.0,4.81045,11.2599
240818683,3392.0,4.88775,11.2619
177797419,3911.0,4.59853,11.2632
236001633,3897.0,4.73805,11.2636
233682504,3576.0,4.80018,11.2658
230115586,3899.0,4.63421,11.2671
350132120,3771.0,4.6916,11.2695
101127274,3789.0,4.67252,11.2714
275188401,3542.0,4.82566,11.2729
435676531,3332.0,4.74597,11.2738
379197519,3261.0,4.86432,11.2762
376115350,3671.0,4.71938,11.2766
387330194,3730.0,4.66367,11.2784
251469806,3737.0,4.6384,11.2789
317778225,3594.0,4.81511,11.2792
83138981,3317.0,4.87701,11.2824
385046883,3602.0,4.75536,11.2826
387832530,3937.0,4.60053,11.283
288524496,3697.0,4.72777,11.2833
407461165,3770.0,4.68719,11.2858
77354786,3924.85,4.56795,11.2859
370073256,3741.0,4.74627,11.2893
247017698,3778.0,4.67057,11.2921
219806194,3965.0,4.34537,11.2931
67389574,3506.0,4.73298,11.2941
29018344,3640.0,4.66322,11.2962
237281689,3720.0,4.7153,11.2962
415976826,3501.0,4.72224,11.3013
198459133,3953.0,4.60773,11.3022
94448299,3801.0,4.63807,11.303
264456462,3606.0,4.79886,11.303
116058678,3846.0,4.60949,11.3035
232677093,3430.0,4.9084,11.3036
407518613,3736.0,4.67867,11.3043
229737720,3685.0,4.69161,11.3046
288314668,3153.0,5.07117,11.3057
34688231,3537.0,4.7678,11.3092
229617501,3939.0,4.64877,11.3116
388566007,3482.0,4.91523,11.3118
82098827,3821.0,4.62912,11.3173
375909109,3443.0,4.81481,11.3175
408705295,3587.0,4.80804,11.3176
312147574,3821.0,4.66863,11.3196
366562857,3760.0,4.75367,11.3308
230076546,3446.0,4.85366,11.3315
286312516,3807.0,4.64577,11.3337
641007224,3480.0,4.77308,11.3357
368926872,3970.0,4.66754,11.3368
20806008,3741.0,4.66997,11.3368
410438159,3787.0,4.71432,11.3372
5721576,3527.0,4.75376,11.3381
302084337,3723.0,4.68597,11.3402
468749301,3965.0,4.59298,11.3421
312347147,3526.0,4.82749,11.3422
353245444,3914.0,4.62649,11.3428
408197026,3770.0,4.64284,11.3448
28763622,3422.0,4.78678,11.3459
219877118,3416.0,4.75649,11.3466
237097184,3515.0,4.78725,11.3474
63789968,3345.0,4.94358,11.3478
192492176,3618.0,4.79542,11.3494
129908451,3280.0,4.85626,11.3502
35022729,3532.0,4.81932,11.3512
376849183,3763.0,4.59497,11.3521
308121792,3437.0,4.81582,11.3542
372058251,3355.0,4.81339,11.3558
63777591,3264.0,4.77126,11.358
67464277,3267.0,4.85746,11.3605
219884888,3364.0,4.99503,11.362
376644752,3785.0,4.75473,11.3624
63789424,3627.0,4.69089,11.3679
129821387,3676.0,4.81854,11.3689
198412165,3887.0,4.62046,11.3701
373514566,3852.0,4.63543,11.3729
194783207,3666.0,4.62104,11.3741
289589923,3115.0,5.02361,11.3752
367351128,3662.0,4.6593,11.3761
385554157,3864.0,4.6677,11.3789
230015959,3852.0,4.68981,11.3799
252146853,3700.0,4.73518,11.3801
286314572,3752.0,4.66963,11.3812
264933316,3713.0,4.6849,11.3812
21099548,3830.0,4.74452,11.3816
101217579,3400.0,4.83173,11.3841
117112731,3848.0,4.56774,11.3843
199522744,3532.0,4.70445,11.3846
94540975,3481.0,4.78101,11.3858
252122105,3687.0,4.69063,11.3894
444830499,3311.0,4.92705,11.3909
372198783,3776.0,4.70691,11.391
285348727,3462.0,4.76503,11.3913
373617273,3577.0,4.84416,11.3919
219778840,3975.0,4.60573,11.3967
