TIC_ID,P_true,A,P_LS,P_ACF,P_final,Flag,Recovered,Harmonic_FP,LS_Power,Mode
332049827,,0.0,5.157958687727815,4.833333333328937,5.157958687727815,Match,False,False,0.0012150022965602158,null
332049827,0.5,0.002,0.5020697811945579,1.4999999999986358,0.5020697811945579,Match,True,False,0.0017924032035792749,injected
332049827,0.5,0.005,0.5020697811945579,1.4999999999986358,0.5020697811945579,Match,True,False,0.004484323702984794,injected
332049827,0.5,0.01,0.5020697811945579,1.4999999999986358,0.5020697811945579,Match,True,False,0.008924325636758944,injected
332049827,0.5,0.02,0.5020697811945579,1.4999999999986358,0.5020697811945579,Match,True,False,0.017891918279982585,injected
332049827,1.0,0.002,1.0004713646005154,0.9999999999990905,1.0004713646005154,Match,True,False,0.0019855731098668374,injected
332049827,1.0,0.005,1.0004713646005154,0.9999999999990905,1.0004713646005154,Match,True,False,0.005007682170071294,injected
332049827,1.0,0.01,1.0004713646005154,0.9999999999990905,1.0004713646005154,Match,True,False,0.009879193572238458,injected
332049827,1.0,0.02,1.0004713646005154,0.9999999999990905,1.0004713646005154,Match,True,False,0.019697134543582403,injected
332049827,2.0,0.002,2.003303445021231,1.9166666666649235,2.003303445021231,Match,True,False,0.00195713064917169,injected
332049827,2.0,0.005,2.003303445021231,1.999999999998181,2.003303445021231,Match,True,False,0.004988784410405564,injected
332049827,2.0,0.01,2.003303445021231,1.999999999998181,2.003303445021231,Match,True,False,0.009990867555346115,injected
332049827,2.0,0.02,2.003303445021231,1.999999999998181,2.003303445021231,Match,True,False,0.019709058609306856,injected
332049827,3.0,0.002,2.9581881533100973,2.9999999999972715,2.9581881533100973,Match,True,False,0.0020031476295961593,injected
332049827,3.0,0.005,3.03431022158684,2.9999999999972715,3.03431022158684,Match,True,False,0.004962464473316346,injected
332049827,3.0,0.01,3.03431022158684,2.9999999999972715,3.03431022158684,Match,True,False,0.009829245595032579,injected
332049827,3.0,0.02,3.03431022158684,2.9999999999972715,3.03431022158684,Match,True,False,0.019555331119358706,injected
332049827,5.0,0.002,5.157958687727815,4.9999999999954525,5.157958687727815,Match,True,False,0.0030970004362013215,injected
332049827,5.0,0.005,4.941792782304995,4.833333333328937,4.941792782304995,Match,True,False,0.0038692327119805026,injected
332049827,5.0,0.01,4.941792782304995,4.9999999999954525,4.941792782304995,Match,True,False,0.009590297890429344,injected
332049827,5.0,0.02,4.941792782304995,4.916666666662195,4.941792782304995,Match,True,False,0.019328701909391916,injected
332049827,7.0,0.002,7.43432574430822,14.833333333319842,14.833333333319842,Harmonic_Corrected,False,True,0.00249155357763835,injected
332049827,7.0,0.005,6.993410214168028,6.8333333333271185,6.993410214168028,Match,True,False,0.005153535970682311,injected
332049827,7.0,0.01,6.993410214168028,6.916666666660376,6.993410214168028,Match,True,False,0.010157479903824354,injected
332049827,7.0,0.02,6.993410214168028,6.9999999999936335,6.993410214168028,Match,True,False,0.01865421691970949,injected
332049827,10.0,0.002,9.168466522678175,9.416666666658102,9.168466522678175,Match,True,False,0.0023405399347839126,injected
332049827,10.0,0.005,9.941451990632308,9.749999999991132,9.941451990632308,Match,True,False,0.0050922184981555966,injected
332049827,10.0,0.01,9.941451990632308,9.916666666657648,9.941451990632308,Match,True,False,0.010001557677568095,injected
332049827,10.0,0.02,9.941451990632308,9.749999999991132,9.941451990632308,Match,True,False,0.020003852527649933,injected
332049827,12.0,0.002,11.957746478873231,10.83333333332348,11.957746478873231,Match,True,False,0.0020769987983124305,injected
332049827,12.0,0.005,11.957746478873231,12.083333333322344,11.957746478873231,Match,True,False,0.005009065348878709,injected
332049827,12.0,0.01,11.957746478873231,12.083333333322344,11.957746478873231,Match,True,False,0.01011979817995227,injected
332049827,12.0,0.02,11.957746478873231,12.583333333321889,11.957746478873231,Match,True,False,0.01975545843564678,injected
332049827,14.0,0.002,13.307210031347958,13.91666666665401,13.307210031347958,Match,True,False,0.002002109119949055,injected
332049827,14.0,0.005,13.307210031347958,13.499999999987722,13.307210031347958,Match,True,False,0.005135645148820597,injected
332049827,14.0,0.01,15.0,13.24999999998795,15.0,Match,True,False,0.008819734935785856,injected
332049827,14.0,0.02,13.307210031347958,13.083333333321434,13.307210031347958,Match,True,False,0.016430990830903804,injected
219798074,,0.0,0.6273764258555117,,0.6273764258555117,LS_only,False,False,0.0010622243234151576,null
219798074,0.5,0.002,0.5011541732474778,,0.5011541732474778,LS_only,True,False,0.001875689913479457,injected
219798074,0.5,0.005,0.5011541732474778,1.999999999998181,0.5011541732474778,Match,True,False,0.004520284377535273,injected
219798074,0.5,0.01,0.5011541732474778,1.4999999999986358,0.5011541732474778,Match,True,False,0.009616969357732815,injected
219798074,0.5,0.02,0.5011541732474778,1.4999999999986358,0.5011541732474778,Match,True,False,0.018643154889973798,injected
219798074,1.0,0.002,0.9995153864792803,1.999999999998181,1.999999999998181,Harmonic_Corrected,False,True,0.0023928309699897867,injected
219798074,1.0,0.005,0.9995153864792803,0.916666666665833,0.9995153864792803,Match,True,False,0.0046587382149300555,injected
219798074,1.0,0.01,0.9995153864792803,0.9999999999990905,0.9995153864792803,Match,True,False,0.010337682800539217,injected
219798074,1.0,0.02,0.9995153864792803,0.9999999999990905,0.9995153864792803,Match,True,False,0.020136253305304674,injected
219798074,2.0,0.002,1.9879518072289113,1.999999999998181,1.9879518072289113,Match,True,False,0.0023899457247891723,injected
219798074,2.0,0.005,2.0230505149583085,1.999999999998181,2.0230505149583085,Match,True,False,0.004959656547777716,injected
219798074,2.0,0.01,1.9879518072289113,1.999999999998181,1.9879518072289113,Match,True,False,0.010254115991115939,injected
219798074,2.0,0.02,1.9879518072289113,1.999999999998181,1.9879518072289113,Match,True,False,0.020004493438618102,injected
219798074,3.0,0.002,2.9654924514737537,,2.9654924514737537,LS_only,True,False,0.0017201277765124038,injected
219798074,3.0,0.005,3.0442804428044217,2.9999999999972715,3.0442804428044217,Match,True,False,0.00543237501496804,injected
219798074,3.0,0.01,3.0442804428044217,2.9999999999972715,3.0442804428044217,Match,True,False,0.010359026127907591,injected
219798074,3.0,0.02,2.9654924514737537,2.916666666664014,2.9654924514737537,Match,True,False,0.019237782457942644,injected
219798074,5.0,0.002,5.061349693251525,,5.061349693251525,LS_only,True,False,0.0022535755357911613,injected
219798074,5.0,0.005,5.061349693251525,4.9999999999954525,5.061349693251525,Match,True,False,0.0046621002236210555,injected
219798074,5.0,0.01,5.061349693251525,4.9999999999954525,5.061349693251525,Match,True,False,0.010176200957310946,injected
219798074,5.0,0.02,5.061349693251525,4.916666666662195,5.061349693251525,Match,True,False,0.020797248656712716,injected
219798074,7.0,0.002,6.886477462437386,,6.886477462437386,LS_only,True,False,0.0020091755315424275,injected
219798074,7.0,0.005,6.886477462437386,6.8333333333271185,6.886477462437386,Match,True,False,0.005640947476404858,injected
219798074,7.0,0.01,6.886477462437386,6.8333333333271185,6.886477462437386,Match,True,False,0.01041152982751205,injected
219798074,7.0,0.02,6.886477462437386,6.916666666660376,6.886477462437386,Match,True,False,0.019931576607273134,injected
219798074,10.0,0.002,9.844868735083523,,9.844868735083523,LS_only,True,False,0.0015535497300311267,injected
219798074,10.0,0.005,9.844868735083523,1.2499999999988631,9.844868735083523,Match,True,False,0.0052136566043524705,injected
219798074,10.0,0.01,9.844868735083523,9.416666666658102,9.844868735083523,Match,True,False,0.010034538869758185,injected
219798074,10.0,0.02,9.844868735083523,9.583333333324617,9.844868735083523,Match,True,False,0.01967878570403505,injected
219798074,12.0,0.002,11.887608069164258,,11.887608069164258,LS_only,True,False,0.0019102228453933823,injected
219798074,12.0,0.005,11.887608069164258,1.2499999999988631,11.887608069164258,Match,True,False,0.004894831332798948,injected
219798074,12.0,0.01,11.887608069164258,11.416666666656283,11.887608069164258,Match,True,False,0.009112637183733181,injected
219798074,12.0,0.02,11.887608069164258,12.583333333321889,11.887608069164258,Match,True,False,0.018103532380775427,injected
219798074,14.0,0.002,15.0,,15.0,LS_only,True,False,0.0019718856737390754,injected
219798074,14.0,0.005,15.0,13.24999999998795,15.0,Match,True,False,0.003977575949284669,injected
219798074,14.0,0.01,13.263665594855302,13.24999999998795,13.263665594855302,Match,True,False,0.008380297875395338,injected
219798074,14.0,0.02,13.263665594855302,13.24999999998795,13.263665594855302,Match,True,False,0.02065829178548322,injected
353936060,,0.0,3.1363636363636314,,3.1363636363636314,LS_only,False,False,0.00020560232171914922,null
353936060,0.5,0.002,0.5007256894049337,1.4999999999986358,0.5007256894049337,Match,True,False,0.001964838122392697,injected
353936060,0.5,0.005,0.5007256894049337,1.4999999999986358,0.5007256894049337,Match,True,False,0.004776881057340651,injected
353936060,0.5,0.01,0.5007256894049337,1.4999999999986358,0.5007256894049337,Match,True,False,0.009580411897550737,injected
353936060,0.5,0.02,0.5007256894049337,1.4999999999986358,0.5007256894049337,Match,True,False,0.018973929040977687,injected
353936060,1.0,0.002,1.002906976744184,0.9999999999990905,1.002906976744184,Match,True,False,0.0020197977474150698,injected
353936060,1.0,0.005,1.002906976744184,0.9999999999990905,1.002906976744184,Match,True,False,0.004891889352781244,injected
353936060,1.0,0.01,1.002906976744184,0.9999999999990905,1.002906976744184,Match,True,False,0.009792581968030158,injected
353936060,1.0,0.02,1.002906976744184,0.9999999999990905,1.002906976744184,Match,True,False,0.019560210539929936,injected
